i0101,001020817402	
i0102,001020814577	
i0103,001020813c5f	
i0104,001020813f34	
i0105,001020477e91	
i0106,00102047a3b1	
i0107,0010204776ec	
i0108,0010204781b3	
i0109,00102047a2fd	
i0110,0010203f5c21	
i0111,00102047a2e0	
i0112,00102047a10f	
i0113,0010204788f6	
i0114,00102047a12b	
i0201,001020477A51	
i0202,001020813e6f	
i0203,001020813db4	
i0204,001020813e8b	
i0205,00102047825a	
i0206,001020813e93	
i0301,0010203f5202	
i0302,001020479cc6	
i0304,00102047a041	
i0305,001020813e8e	
i0306,001020813da0	
icubiscan,00102047781a	
icubiscan2,001020478258	
ip0101,001020814929	
ip0102,00102047a2fa	
ip0103,001020dd0c53	
ip0104,001020477262	
ip0105,00102047a023	
ip0106,001020477b2c	
ip0107,001020478871	
ip0109,00102047834D	
ip0108,00102047833E	
ip0110,00102047D51F	
isscow33,001020478871	
o0101,0010204777cb	
o0102,00102047a2fc	
o0103,00102047d39c	
o0104,001020478bdf	
o0105,0010204781a9	
o0106,00102047833b	
o0107,0010204781bc	
o0108,00102047a01a	
o0109,00102047a36a	
o0201,001020dd2e71	
o0202,0010204776f2	
o0203,001020479e0a	
o0204,001020478348	
o0205,00102047b350	
o0206,0c236921f262	
o0207,0c23693a5abb	
o0301,00102047a2fb	
o0302,00102047b502	
o0303,001020477af2	
o0304,001020477A2D	
o0305,00102047a2f1	
o0306,001020477a3c	
o0307,001020478880	
o0308,0010204776e7	
o0309,00102047A5B1	
o0401,00102047a3bb	
o0402,00102047dc42	
o0403,001020478359	
o0404,00102047d510	
o0405,001020478874	
o0406,001020478264	
o0407,00102047b1b6	
o0408,00102047b28b	
o0409,001020477b07	
o0410,001020477e91	
o0501,001020478881	
o0502,0c23693a4eb1	
o0503,00102047887c	
o0504,00102047a2f6	
o0505,001020813DB0          	
o0506,00102047B1BE	
o0507,0C23693A4EA6	
o0508,00102047A3B3	
o0509,00102047a2f7	
o0601,001020477B1E	
o0604,001020477b27	
o0606,0010204777ED	
o0608,001020478879	
o0703,001020479eef	
o0801,00102047a030	
o0803,00102047a2ec	
o0804,00102047835A	
o0805,001020477ba2	
o0901,001020477e93	
o0902,001020477b25	
o0903,00102047a3e3	
o0904,001020477b17	
o0905,00102047a3b5	
o0906,00102047a368	
o0907,001020479f71	
o0909,00102047d39a	
o0911,001020dd04f6	
o1001,001020478876	
o1002,0c23693a5aba	
o1003,0c23693a522f	
o1004,0c23693a529d	
o1005,0c23693b33ac	
o1006,001020477e96	
o1007,0c23693a5aab	
o1008,0c2369390290	
o1009,0c23693a5d4f	
o1010,0c23693a54d3	
o1101,0010204777d8	
o1102,00102047a017	
o1103,001020478870	
o1104,0010204788b9	
o1105,00102047d2fe	
o1106,0010204785eb	
o1107,00102047D2B9	
o1108,001020478bd3	
o1109,001020477a3b	
o1110,001020479cc5	
o801,001020477b11	
o802,00102047d2fc	
o804,001020479cca	
o816,00102047A018	
o853,001020478262	
o854,00102047834a	
o901,0010204776de	
o902,001020477B11	
oe0101,00102047D526	
oe0102,00102047B286	
oe0104,001020478353	
oe0106,001020DD3019	
oe0108,00102047B1D6	
oe0110,00102047a128	
oe0202,00102047886e	
oe0203,0010204776EA	
oe0204,0010204777D0	
oe0205,0c23693a6d14	
oe0206,001020479CC3	
oe0208,001020dd07dd	
oe0210,001020814088	
ops1,001020477b20	
ops2,00102047886f	
ops3,001020dd0b9d	
t851,001020479cbd	
t852,00102047a3b8	
t855,00102047835c 	
t856,001020dd300c	
t857,001020dcffa0	
v0101,0010204777ea	
v0102,00102047a2ea	
v0103,001020479cc8	
v0104,0010203f50ff	
v0105,0010204777d5	
v0106,00102047b3c0	
vps,001020479cac	
vr2,00102047A042	
ws857,00102047887A	
ws912,0c236938fcf8	
o0701,0C23693935F3	
it01,0C23693A517A	
ibm1,00102047A2EC
